Metric,Value
design__instance__count,1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,27
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.868279
clock__skew__worst_setup__corner:nom_tt_025C_1v80,2.539965
timing__hold__ws__corner:nom_tt_025C_1v80,0.080767
timing__setup__ws__corner:nom_tt_025C_1v80,8.155679
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,243
design__max_cap_violation__count,0
clock__skew__worst_hold,-1.859315
clock__skew__worst_setup,2.729745
timing__hold__ws,0.014894
timing__setup__ws,5.048685
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,39520
design__violations,0
antenna__violating__nets,1
antenna__violating__pins,1
antenna__count,1
route__net,637
route__net__special,8
route__drc_errors__iter:1,127
route__wirelength__iter:1,38150
route__drc_errors__iter:2,16
route__wirelength__iter:2,37870
route__drc_errors__iter:3,17
route__wirelength__iter:3,37868
route__drc_errors__iter:4,0
route__wirelength__iter:4,37855
route__drc_errors,0
route__wirelength,37855
route__vias,1234
route__vias__singlecut,1234
route__vias__multicut,0
design__disconnected_pins__count,0
route__wirelength__max,206.14
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
